,type,Rule_for_ll,Rule_for_rest,Entropy,SSIM_with_CT,SSIM_with_MR,Cross Entropy,standard deviation
0,Normal,mean,max,4.895255267554201,0.43950431813653323,0.3615830120560726,12.40086381403686,35.30350163216433
1,Normal,mean,min,4.697962088591247,0.4241473691366415,0.40287383420190204,12.371197689609247,31.059662526220617
2,Normal,max,mean,4.510861212785874,0.6938816931683672,0.630876147127605,12.188827390028063,47.51103062652995
3,Normal,max,min,4.697962088591247,0.4241473691366415,0.40287383420190204,12.371197689609247,31.059662526220617
4,Normal,min,mean,4.510674570006163,0.6938687108498928,0.630896544045406,12.188862872835134,47.510068839920905
5,Normal,min,max,4.895255267554201,0.43950431813653323,0.3615830120560726,12.40086381403686,35.30350163216433
6,LE,max,min,4.885462037216332,0.7304402830254986,0.5962343235958344,12.210335732057985,73.67060479665366
