,type,Rule_for_ll,Rule_for_rest,Entropy,SSIM_with_CT,SSIM_with_MR,Cross Entropy,standard deviation
0,Normal,mean,max,4.7165831662815325,0.45702366995769117,0.5118244543939459,12.379212950770007,29.787999388068094
1,Normal,mean,min,4.607508611436544,0.4859685635579464,0.5404247533361122,12.365543351800177,28.61294985775964
2,Normal,max,mean,4.675325343368702,0.6554733799233889,0.7400502211807984,12.279236438070395,42.490438968097905
3,Normal,max,min,4.607508611436544,0.4859685635579464,0.5404247533361122,12.365543351800177,28.61294985775964
4,Normal,min,mean,4.675379112630211,0.6554813103792488,0.7400486485459017,12.27921995078269,42.49116885036975
5,Normal,min,max,4.7165831662815325,0.45702366995769117,0.5118244543939459,12.379212950770007,29.787999388068094
6,LE,max,min,4.901563792525052,0.6265486132355444,0.8111334279975714,12.300199120894742,58.55807397374392
