,type,Rule_for_ll,Rule_for_rest,Entropy,SSIM_with_CT,SSIM_with_MR,Cross Entropy,standard deviation
0,Normal,mean,max,4.410086570295656,0.13898226420676432,0.15995808765585506,12.114986368268198,33.7964917889535
1,Normal,mean,min,4.246405309166031,0.1372304576546083,0.1671849059932035,12.129609340362915,30.019220541644664
2,Normal,max,mean,2.749245573292336,0.8024953791017276,0.7880703630794523,11.304124855129658,56.442496638267734
3,Normal,max,min,4.246405309166031,0.1372304576546083,0.1671849059932035,12.129609340362915,30.019220541644664
4,Normal,min,mean,2.749245573292336,0.8024953791017276,0.7880703630794523,11.304124855129658,56.442496638267734
5,Normal,min,max,4.410086570295656,0.13898226420676432,0.15995808765585506,12.114986368268198,33.7964917889535
6,LE,max,min,2.9466599958041537,0.845393731723308,0.7378007751409724,11.356745246909705,73.67838607430647
