,type,Rule_for_ll,Rule_for_rest,Entropy,SSIM_with_CT,SSIM_with_MR,Cross Entropy,standard deviation
0,Normal,mean,max,4.857059440644513,0.4035825209753649,0.4478862730336275,12.31352933762642,36.88516918640309
1,Normal,mean,min,4.981267768298775,0.39749892655675945,0.4184451050634478,12.314025212569035,40.42893825643704
2,Normal,max,mean,4.725031136717714,0.5903250799410955,0.6541363921809646,12.147928495217098,67.10435628014396
3,Normal,max,min,4.981267768298775,0.39749892655675945,0.4184451050634478,12.314025212569035,40.42893825643704
4,Normal,min,mean,4.725031136717714,0.5903250799410955,0.6541363921809646,12.147928495217098,67.10435628014396
5,Normal,min,max,4.857059440644513,0.4035825209753649,0.4478862730336275,12.31352933762642,36.88516918640309
6,LE,max,min,4.63221581606563,0.658343484835013,0.5723902477126441,12.170404905767299,86.69281861465804
