,type,Rule_for_ll,Rule_for_rest,Entropy,SSIM_with_CT,SSIM_with_MR,Cross Entropy,standard deviation
0,Normal,mean,max,3.589096236301325,0.11309232671827314,0.14982081960495036,12.110935069088033,34.85036644294554
1,Normal,mean,min,3.577044854410225,0.11578684614483924,0.14241459442941928,12.10863262252799,35.213464985599614
2,Normal,max,mean,2.2977898944776944,0.8413190154526282,0.8758054096207301,11.140990833978103,73.48284433917019
3,Normal,max,min,3.577044854410225,0.11578684614483924,0.14241459442941928,12.10863262252799,35.213464985599614
4,Normal,min,mean,2.2977898944776944,0.8413190154526282,0.8758054096207301,11.140990833978103,73.48284433917019
5,Normal,min,max,3.589096236301325,0.11309232671827314,0.14982081960495036,12.110935069088033,34.85036644294554
6,LE,max,min,2.277673919283595,0.8194956783322983,0.8896566275734761,11.165288739970624,93.61908806988812
